GEOID,RISK_SCORE,risk_norm,cost_norm,risk_ratio,risk_tax_100k,CFLD_norm,ERQK_norm,HRCN_norm,TRND_norm,WFIR_norm,CWAV_norm,HWAV_norm,DRGT_norm,hazard_penalty,base_penalty,score_raw,score_0_100,contrib_risk,contrib_cost,contrib_hazard
01001,57.56997455470738,0.5756997455470738,0.36014851485148514,0.0019290876510938487,192.90876510938486,0.0,0.6784351145038168,0.72090112640801,0.7410941475826972,0.4573791348600509,0.2818066157760814,0.8590237636480411,0.45642493638676845,0.0,0.5002568148036178,0.49974318519638217,47.370049504950494,-0.374204834605598,-0.1260519801980198,-0.0
01003,96.72391857506362,0.9672391857506362,0.8811881188118812,0.004600398651194531,460.0398651194531,0.858,0.7239185750636132,0.9924906132665833,0.9284351145038168,0.9077608142493638,0.803117048346056,0.9219653179190751,0.7452290076335878,0.0,0.9371213123220719,0.06287868767792815,1.1757425742574257,-0.6287054707379135,-0.3084158415841584,-0.0
01005,48.1234096692112,0.481234096692112,0.24969059405940594,0.0016398693770316474,163.98693770316473,0.0,0.5372137404580153,0.799749687108886,0.7862595419847328,0.48854961832061067,0.1383587786259542,0.6946050096339114,0.700381679389313,0.0,0.4001938707706649,0.5998061292293351,63.706683168316836,-0.3128021628498728,-0.08739170792079208,-0.0
01007,39.12213740458015,0.39122137404580154,0.5736386138613861,0.002545894153797459,254.5894153797459,0.0,0.6243638676844784,0.5006257822277848,0.7716284987277354,0.4866412213740458,0.39662849872773537,0.5969813744380218,0.3387404580152672,0.0,0.45506740798125617,0.5449325920187438,54.88861386138614,-0.254293893129771,-0.20077351485148515,-0.0
01009,68.4796437659033,0.6847964376590331,0.5374381188118812,0.002427161364453539,242.71613644535392,0.0,0.727735368956743,0.6299541093032958,0.9201653944020356,0.6504452926208651,0.635178117048346,0.6949261400128453,0.5518447837150128,0.0,0.63322102606253,0.36677897393747005,26.763613861386137,-0.4451176844783715,-0.1881033415841584,-0.0
01011,25.254452926208653,0.25254452926208654,0.6729579207920792,0.0028947989899684346,289.4798989968435,0.0,0.4548346055979644,0.7617855652899458,0.5674300254452926,0.46087786259541985,0.1005089058524173,0.49967886962106617,0.9099872773536896,0.0,0.39968921629758397,0.600310783702416,63.83044554455446,-0.16415394402035627,-0.2355352722772277,-0.0
01013,45.165394402035616,0.45165394402035625,0.536509900990099,0.002425871864168492,242.5871864168492,0.0,0.5270356234096693,0.8585732165206508,0.6723918575063613,0.3107506361323155,0.369910941475827,0.561014771997431,0.3708651399491094,0.0,0.4813535289597662,0.5186464710402339,50.309405940594054,-0.29357506361323155,-0.18777846534653464,-0.0
01015,88.45419847328243,0.8845419847328244,0.422029702970297,0.002111349088038167,211.13490880381667,0.0,0.8473282442748091,0.7396745932415519,0.9821882951653944,0.8152035623409669,0.7563613231552163,0.783558124598587,0.6125954198473282,0.0,0.7226626861159398,0.27733731388406024,14.32549504950495,-0.5749522900763359,-0.14771039603960395,-0.0
01017,47.23282442748092,0.4723282442748092,0.2422648514851485,0.0016204938062028677,162.04938062028677,0.0,0.575381679389313,0.7017104714226116,0.6730279898218829,0.5165394402035624,0.38676844783715014,0.827874116891458,0.38708651399491095,0.0,0.39180605679842795,0.608193943201572,65.0990099009901,-0.30701335877862596,-0.08479269801980198,-0.0
01019,63.32697201017812,0.6332697201017812,0.7391707920792079,0.0032402227081000444,324.02227081000444,0.0,0.7344147582697201,0.6291197329995828,0.8295165394402035,0.6822519083969466,0.5372137404580153,0.4463712267180475,0.8979007633587787,0.0,0.6703350952938805,0.32966490470611953,20.977722772277225,-0.41162531806615776,-0.25870977722772276,-0.0
01021,54.70737913486005,0.5470737913486005,0.4337871287128713,0.0021399076474741294,213.99076474741292,0.0,0.6603053435114504,0.5807259073842302,0.857824427480916,0.6326335877862596,0.5003180661577609,0.6811175337186898,0.41348600508905853,0.0,0.5074234594260952,0.49257654057390476,46.225247524752476,-0.3555979643765903,-0.15182549504950493,-0.0
01023,70.61068702290076,0.7061068702290076,0.6862623762376238,0.0029372207595965887,293.72207595965887,0.0,0.708969465648855,0.8931998331247393,0.7783078880407125,0.5244910941475827,0.6106870229007634,0.46017983301220294,0.31743002544529264,0.0,0.6991612973320233,0.30083870266797674,17.481435643564357,-0.458969465648855,-0.2401918316831683,-0.0
01025,53.40330788804072,0.5340330788804071,0.6692450495049505,0.0028775221750287623,287.75221750287625,0.222,0.5260814249363868,0.8961201501877347,0.6777989821882952,0.4392493638676845,0.556615776081425,0.6621708413615928,0.27067430025445294,0.0,0.5813572685989973,0.4186427314010027,34.375,-0.3471215012722646,-0.23423576732673265,-0.0
01027,26.685750636132315,0.26685750636132316,0.41058168316831684,0.002072894622243831,207.28946222438313,0.0,0.4993638676844784,0.6750104297037964,0.6717557251908397,0.7108778625954199,0.45896946564885494,0.39948619139370584,0.30311704834605596,0.0,0.31716096824377094,0.6828390317562291,78.6819306930693,-0.17345737913486006,-0.14370358910891087,-0.0
01029,27.48091603053436,0.2748091603053435,0.5560024752475248,0.0024975455834752953,249.75455834752952,0.0,0.4723282442748092,0.6541510221109721,0.700381679389313,0.6727099236641222,0.41348600508905853,0.35324341682723187,0.4847328244274809,0.0,0.3732268205351069,0.6267731794648931,68.06930693069307,-0.1786259541984733,-0.19460086633663365,-0.0
