COUNTY,ZIP,USPS_ZIP_PREF_CITY,USPS_ZIP_PREF_STATE,RES_RATIO,BUS_RATIO,OTH_RATIO,TOT_RATIO
01009,35031,BLOUNTSVILLE,AL,0.142308075,0.087876844,0.146726862,0.139732157
01009,35957,BOAZ,AL,0.00811769,0.00192431,0.004514673,0.007768076
01009,35079,HAYDEN,AL,0.160697127,0.071840924,0.056433409,0.154957586
01009,35146,SPRINGVILLE,AL,0.015572711,0.003207184,0.0,0.014759345
01011,36053,MIDWAY,AL,0.140424111,0.053949904,0.194444444,0.133863081
01011,36031,FORT DAVIS,AL,0.0,0.001926782,0.0,0.000152812
01011,36029,FITZPATRICK,AL,0.069126732,0.032755299,0.0,0.065861858
01011,36830,AUBURN,AL,0.000333946,0.0,0.0,0.000305623
01011,36005,BANKS,AL,0.06177993,0.034682081,0.0,0.059290954
01011,36081,TROY,AL,0.037401903,0.007707129,0.0,0.034841076
01011,36089,UNION SPRINGS,AL,0.679746201,0.857418112,0.805555556,0.69452934
01011,36052,MATHEWS,AL,0.004842211,0.005780347,0.0,0.004889976
01011,36860,HURTSBORO,AL,0.006344966,0.005780347,0.0,0.006265281
01013,36030,FOREST HOME,AL,0.031790479,0.018308631,0.0,0.029895696
01013,36071,RUTLEDGE,AL,0.003623785,0.0,0.0,0.003231967
01013,36033,GEORGIANA,AL,0.194037226,0.08282476,0.375384615,0.188996621
01013,36042,HONORAVILLE,AL,0.028907923,0.003487358,0.0,0.026076098
01013,36037,GREENVILLE,AL,0.655493329,0.871839582,0.378461538,0.667107389
01013,36015,CHAPMAN,AL,0.0,0.00087184,0.0,7.3454e-05
01013,36474,RED LEVEL,AL,0.000494153,0.0,0.0,0.000440723
01013,36456,MC KENZIE,AL,0.066463515,0.018308631,0.076923077,0.062656089
01013,36032,FORT DEPOSIT,AL,0.01918959,0.004359198,0.169230769,0.021521963
01015,36205,ANNISTON,AL,0.014528469,0.015307624,0.045827633,0.015182575
01015,35096,LINCOLN,AL,0.00263633,0.000441566,0.0,0.0023959
01015,36265,JACKSONVILLE,AL,0.163323495,0.082867236,0.207934337,0.157155669
01015,36207,ANNISTON,AL,0.156231195,0.124816014,0.199726402,0.154311339
01015,36257,DE ARMANVILLE,AL,0.006089349,0.002060642,0.000683995,0.005637412
01015,36204,ANNISTON,AL,0.010731582,0.010597586,0.000683995,0.01053171
01015,36253,BYNUM,AL,0.0,0.000294377,0.0,2.5625e-05
01015,36277,WEAVER,AL,0.039759865,0.007359435,0.016415869,0.036502242
01015,36279,WELLINGTON,AL,0.020488867,0.005298793,0.004103967,0.018859705
01015,36272,PIEDMONT,AL,0.073802906,0.06549897,0.05745554,0.072773863
01015,36260,EASTABOGA,AL,0.021721065,0.008242567,0.003419973,0.020204997
01015,36250,ALEXANDRIA,AL,0.030489727,0.02826023,0.030779754,0.030301089
01015,36202,ANNISTON,AL,0.029372152,0.063143951,0.001367989,0.031787316
01015,36206,ANNISTON,AL,0.082843797,0.066823668,0.080711354,0.081409353
01015,36201,ANNISTON,AL,0.166604579,0.292758316,0.136114911,0.177014734
01015,35905,GADSDEN,AL,0.005029086,0.002796585,0.001367989,0.004766176
01015,36203,OXFORD,AL,0.124896123,0.207830439,0.205198358,0.133619475
01015,36271,OHATCHEE,AL,0.051451414,0.015454813,0.008207934,0.047508008
01015,36254,CHOCCOLOCCO,AL,0.0,0.000147189,0.0,1.2812e-05
01017,36852,CUSSETA,AL,0.016706098,0.016064257,0.01025641,0.016552335
01017,36863,LANETT,AL,0.353049104,0.382195448,0.397435897,0.355742421
01017,36274,ROANOKE,AL,0.019168558,0.014725569,0.012820513,0.018765214
01017,36879,WAVERLY,AL,0.017478635,0.007362784,0.007692308,0.01664085
01017,36850,CAMP HILL,AL,0.010042972,0.005354752,0.005128205,0.009648152
01017,36862,LAFAYETTE,AL,0.178504177,0.194109772,0.287179487,0.181411817
01017,36276,WADLEY,AL,0.01028439,0.004685408,0.0,0.009736667
01017,36855,FIVE POINTS,AL,0.050890831,0.019410977,0.043589744,0.048683337
01017,36801,OPELIKA,AL,0.008256482,0.001338688,0.002564103,0.007700819
01017,36854,VALLEY,AL,0.335618753,0.354752343,0.233333333,0.335118389
01019,36272,PIEDMONT,AL,0.0968962,0.036697248,0.035555556,0.092817556
01019,35967,FORT PAYNE,AL,0.012247103,0.006116208,0.0,0.011756144
01019,35959,CEDAR BLUFF,AL,0.211922915,0.084607543,0.213333333,0.204948777
01019,35961,COLLINSVILLE,AL,0.018790899,0.009174312,0.0,0.018026087
01019,35960,CENTRE,AL,0.390886714,0.716615698,0.595555556,0.411353076
01019,36275,SPRING GARDEN,AL,0.0,0.001019368,0.0,5.5982e-05
01019,35973,GAYLESVILLE,AL,0.108302816,0.027522936,0.022222222,0.102782287
01019,35901,GADSDEN,AL,0.002101219,0.004077472,0.0,0.002183284
01019,35903,GADSDEN,AL,0.003181845,0.001019368,0.0,0.003023008
01019,35983,LEESBURG,AL,0.142042385,0.113149847,0.106666667,0.140010077
