RegionID,RegionName,StateName,SizeRank,zhvi_latest_date,zhvi_latest_value,zhvi_pct_change_5y,zhvi_slope_per_year_10y,temp_latest_date,market_temp_latest,market_temp_pct_change_5y,market_temp_slope_per_year_10y
102001,United States,,0,2026-01-31,357444.59226711566,32.809890107596786,19743.296038818946,2026-01-31,51.0,-35.44303797468354,-0.25711035215592476
394297,"Aberdeen, SD",SD,677,2026-01-31,227871.1861744699,28.84503456008276,9579.312799970992,2026-01-31,38.0,-44.927536231884055,0.5099016820253651
394298,"Aberdeen, WA",WA,473,2026-01-31,311876.70840149134,21.38299564411168,22419.96015281393,2026-01-31,31.0,-67.36842105263158,-5.1273229127740825
394299,"Abilene, TX",TX,251,2026-01-31,199710.6142646286,26.91583486710256,8952.408234515377,2026-01-31,61.0,-4.6875,-0.4000011985823718
394300,"Ada, OK",OK,720,2026-01-31,179869.0448823622,33.69600197708085,9161.707133004495,2026-01-31,46.0,-30.303030303030297,2.3584502024625156
394302,"Adrian, MI",MI,393,2026-01-31,226966.43232827456,32.29323283392953,11869.648894843705,2026-01-31,46.0,-57.798165137614674,-1.8976793332723396
394304,"Akron, OH",OH,83,2026-01-31,225385.93753150545,37.436074946690965,11640.682693805396,2026-01-31,54.0,-19.402985074626866,2.9844931816437525
394305,"Alamogordo, NM",NM,493,2026-01-31,224747.48650687424,48.722622362702154,13282.486588982434,2026-01-31,26.0,-65.78947368421053,1.3631281546097627
394306,"Albany, GA",GA,295,2026-01-31,160302.2408011708,38.49070899762972,9126.181248956405,2026-01-31,-2.0,-102.29885057471265,7.611064880126984
394307,"Albany, OR",OR,330,2026-01-31,401509.7641592852,31.973672019229426,25541.638401049266,2026-01-31,58.0,-40.20618556701031,-1.716984178542123
394308,"Albany, NY",NY,64,2026-01-31,349818.15734526323,37.67118142800789,16430.788598393035,2026-01-31,76.0,-32.14285714285714,2.4520026417208665
394309,"Albemarle, NC",NC,526,2026-01-31,295411.48302722024,48.18513992622759,20012.887304557065,2026-01-31,5.0,-95.14563106796116,-2.83256492668296
394310,"Albert Lea, MN",MN,814,2026-01-31,185328.67097303143,38.35705163013756,10210.589691996867,2026-01-31,55.0,-23.611111111111114,-0.30872863929329997
394311,"Albertville, AL",AL,406,2026-01-31,231731.329847198,33.671161059697454,13325.123318106522,2026-01-31,11.0,-84.28571428571429,-2.3844169823533092
394312,"Albuquerque, NM",NM,62,2026-01-31,339930.511891963,42.595552173247775,20510.23146758383,2026-01-31,57.0,-26.923076923076927,0.08831317280544747
394314,"Alexandria, LA",LA,286,2026-01-31,159263.67413074351,0.6069722048884563,2904.645395869687,2026-01-31,48.0,-12.727272727272732,0.569372804958296
394315,"Alexandria, MN",MN,711,2026-01-31,326982.8956512543,32.563558128948024,16178.542685022427,2026-01-31,41.0,-34.92063492063492,0.9455290573777545
394316,"Alice, TX",TX,609,2026-01-31,117565.52489400476,-21.881225910583836,-2020.3512867704849,2026-01-31,47.0,-26.5625,-1.0158892350763875
394318,"Allentown, PA",PA,70,2026-01-31,348915.279925717,42.14743971837669,18884.08883187164,2026-01-31,62.0,-34.04255319148937,2.879321369078454
394319,"Alma, MI",MI,684,2026-01-31,172490.53881028332,24.900668985125463,7474.85694824942,2026-01-31,57.0,-47.706422018348626,5.860731877889978
394320,"Alpena, MI",MI,824,2026-01-31,181440.48361645805,45.06749799834879,8245.128846666836,2026-01-31,34.0,-44.26229508196722,2.258874248850151
394321,"Altoona, PA",PA,340,2026-01-31,166225.0941621424,15.181407568206605,3994.898661468512,2026-01-31,46.0,-16.36363636363637,2.4060584862527903
394322,"Altus, OK",OK,864,2026-01-31,110244.6193410938,26.816342343503408,4810.87030020419,2026-01-31,-8.0,-108.79120879120879,1.2863596575874732
394323,"Amarillo, TX",TX,186,2026-01-31,210733.05479163988,33.391570120028,10053.12021217255,2026-01-31,49.0,-25.757575757575758,0.024489366621839745
394324,"Americus, GA",GA,779,2026-01-31,130097.36729047308,29.563077828886165,6990.805802070173,2026-01-31,-19.0,-134.54545454545453,7.569624588180176
394325,"Ames, IA",IA,336,2026-01-31,253187.75395401596,27.833805819583567,9745.869079206952,2026-01-31,45.0,-42.307692307692314,1.3532086959031047
394326,"Amsterdam, NY",NY,607,2026-01-31,197547.00043253892,35.40795315869196,11495.728460530783,2026-01-31,56.0,7.692307692307687,7.912220041143128
394327,"Anchorage, AK",AK,139,2026-01-31,403045.4161081816,23.088745169743664,12168.151319900613,2026-01-31,72.0,0.0,1.7697099648315269
394330,"Andrews, TX",TX,920,2026-01-31,248241.0951997168,13.545457702998242,8450.168885417615,2026-01-31,38.0,15.15151515151516,0.29009000772026683
394331,"Angola, IN",IN,774,2026-01-31,299757.3155612853,42.74574801468174,16707.782304214965,2026-01-31,12.0,-83.33333333333334,-1.7928163147294676
394332,"Ann Arbor, MI",MI,148,2026-01-31,398084.21044590505,25.81134515913577,16901.096176775103,2026-01-31,75.0,-6.25,3.4855714700726836
394333,"Anniston, AL",AL,357,2026-01-31,165192.56020212322,20.634720214317802,6735.548640572575,2026-01-31,28.0,-68.18181818181819,1.5377054860609423
394334,"Appleton, WI",WI,197,2026-01-31,333083.4902279212,49.98801856904889,18269.364748101518,2026-01-31,39.0,-39.0625,-1.0415165560083344
394335,"Arcadia, FL",FL,782,2026-01-31,243899.99721286903,39.354484595418484,17988.678170716095,2026-01-31,-22.0,-113.75,-4.986843420276148
394336,"Ardmore, OK",OK,546,2026-01-31,172001.88559563944,35.70384643129254,9922.925146222116,2026-01-31,37.0,-37.28813559322034,-0.9583663873788664
394337,"Arkadelphia, AR",AR,896,2026-01-31,154441.54548742188,29.86961263130057,6690.287376709773,2026-01-31,29.0,-52.459016393442624,-1.096796586429286
394338,"Asheville, NC",NC,121,2026-01-31,412625.4088837307,34.835476630304726,25281.141921466595,2026-01-31,30.0,-63.41463414634146,-1.8785689352983286
394339,"Ashland, OH",OH,586,2026-01-31,229733.41682227087,44.04848755332278,12803.413255721081,2026-01-31,4.0,-95.45454545454545,8.727231930974837
394340,"Ashtabula, OH",OH,404,2026-01-31,170186.1728138925,44.08571166147672,9575.081681829946,2026-01-31,49.0,-2.0000000000000018,5.044890684423745
394341,"Astoria, OR",OR,691,2026-01-31,496727.3167886051,31.103083373462837,31132.79347135389,2026-01-31,49.0,-39.50617283950617,-1.9274952001819494
394342,"Atchison, KS",KS,929,2026-01-31,175042.83428044422,50.22606222989769,10281.896652596719,2026-01-31,68.0,-1.449275362318836,1.3008735370886375
394343,"Athens, OH",OH,521,2026-01-31,174900.97248511962,21.703616362189603,7664.371933169159,2026-01-31,55.0,-15.384615384615385,3.6396515950073676
